iter	Passed	Remaining
0	180	180252
1	187	93778
2	195	64814
3	203	50602
4	211	41993
5	217	35954
6	222	31548
7	229	28402
8	231	25454
9	237	23514
10	243	21902
11	249	20572
12	255	19392
13	260	18377
14	267	17538
15	274	16854
16	279	16185
17	285	15585
18	292	15088
19	298	14613
20	304	14176
21	310	13783
22	316	13440
23	321	13088
24	327	12766
25	333	12497
26	339	12229
27	346	12032
28	352	11812
29	358	11594
30	366	11464
31	374	11339
32	382	11197
33	389	11075
34	404	11148
35	415	11137
36	423	11026
37	430	10894
38	437	10790
39	444	10656
40	449	10509
41	455	10388
42	461	10272
43	467	10157
44	473	10053
45	479	9945
46	487	9883
47	493	9783
48	499	9696
49	505	9597
50	511	9509
51	516	9417
52	521	9323
53	529	9274
54	579	9948
55	596	10056
56	635	10513
57	650	10560
58	676	10791
59	691	10830
60	698	10759
61	724	10957
62	732	10888
63	738	10796
64	745	10717
65	751	10641
66	758	10555
67	763	10463
68	769	10379
69	775	10299
70	781	10221
71	786	10137
72	792	10062
73	798	9995
74	803	9914
75	810	9852
76	817	9795
77	823	9730
78	828	9663
79	835	9602
80	841	9552
81	849	9509
82	855	9448
83	861	9389
84	866	9331
85	873	9279
86	878	9221
87	884	9169
88	892	9130
89	897	9075
90	903	9026
91	908	8970
92	914	8922
93	921	8879
94	927	8834
95	933	8786
96	939	8743
97	945	8701
98	951	8657
99	957	8617
100	963	8573
101	969	8532
102	974	8485
103	981	8455
104	987	8418
105	993	8375
106	998	8336
107	1004	8297
108	1010	8258
109	1015	8220
110	1022	8185
111	1028	8158
112	1034	8122
113	1040	8084
114	1046	8054
115	1052	8021
116	1058	7984
117	1063	7948
118	1069	7918
119	1075	7884
120	1080	7848
121	1086	7817
122	1093	7796
123	1098	7762
124	1105	7735
125	1111	7709
126	1117	7678
127	1125	7667
128	1133	7651
129	1140	7635
130	1145	7601
131	1151	7574
132	1157	7546
133	1162	7516
134	1168	7488
135	1173	7458
136	1179	7430
137	1185	7406
138	1191	7379
139	1197	7353
140	1203	7330
141	1208	7302
142	1215	7281
143	1220	7257
144	1226	7233
145	1232	7208
146	1238	7187
147	1245	7169
148	1252	7153
149	1258	7133
150	1264	7109
151	1270	7085
152	1275	7063
153	1281	7041
154	1287	7018
155	1293	6998
156	1300	6981
157	1306	6962
158	1312	6942
159	1317	6917
160	1323	6896
161	1329	6877
162	1335	6859
163	1341	6839
164	1347	6819
165	1353	6799
166	1359	6779
167	1365	6762
168	1371	6742
169	1376	6720
170	1383	6705
171	1389	6686
172	1394	6666
173	1400	6646
174	1405	6627
175	1411	6609
176	1417	6588
177	1422	6570
178	1429	6554
179	1434	6535
180	1440	6517
181	1446	6499
182	1453	6487
183	1458	6470
184	1466	6459
185	1472	6445
186	1478	6428
187	1484	6411
188	1490	6394
189	1496	6378
190	1502	6361
191	1508	6347
192	1514	6331
193	1521	6320
194	1528	6308
195	1535	6297
196	1543	6292
197	1552	6289
198	1558	6274
199	1564	6259
200	1570	6241
201	1575	6225
202	1582	6213
203	1591	6211
204	1601	6210
205	1610	6206
206	1619	6203
207	1629	6206
208	1635	6190
209	1642	6177
210	1650	6171
211	1658	6164
212	1665	6154
213	1671	6137
214	1676	6122
215	1683	6110
216	1689	6096
217	1694	6078
218	1700	6065
219	1706	6051
220	1712	6035
221	1718	6021
222	1724	6007
223	1729	5993
224	1735	5978
225	1741	5962
226	1747	5950
227	1753	5936
228	1759	5925
229	1765	5910
230	1772	5899
231	1777	5883
232	1783	5871
233	1790	5860
234	1796	5846
235	1801	5831
236	1807	5818
237	1812	5804
238	1818	5791
239	1824	5777
240	1830	5764
241	1835	5750
242	1841	5736
243	1847	5724
244	1855	5716
245	1862	5707
246	1868	5697
247	1874	5683
248	1880	5671
249	1886	5658
250	1892	5647
251	1898	5634
252	1904	5622
253	1909	5608
254	1915	5596
255	1921	5583
256	1927	5572
257	1933	5559
258	1939	5547
259	1944	5535
260	1950	5521
261	1956	5510
262	1962	5498
263	1967	5485
264	1973	5474
265	1979	5462
266	1986	5453
267	1992	5441
268	1997	5429
269	2003	5417
270	2009	5405
271	2014	5392
272	2020	5381
273	2026	5370
274	2034	5362
275	2040	5352
276	2046	5342
277	2052	5331
278	2058	5320
279	2064	5308
280	2070	5298
281	2076	5286
282	2082	5274
283	2087	5262
284	2093	5252
285	2099	5241
286	2104	5228
287	2110	5218
288	2116	5207
289	2121	5194
290	2128	5186
291	2134	5175
292	2140	5164
293	2145	5152
294	2151	5140
295	2156	5129
296	2162	5118
297	2168	5108
298	2175	5099
299	2181	5089
300	2187	5080
301	2193	5069
302	2199	5059
303	2205	5049
304	2211	5038
305	2216	5027
306	2222	5016
307	2227	5005
308	2233	4994
309	2239	4983
310	2244	4972
311	2250	4962
312	2255	4951
313	2261	4941
314	2268	4933
315	2274	4923
316	2280	4913
317	2286	4903
318	2292	4893
319	2297	4883
320	2303	4872
321	2309	4862
322	2314	4851
323	2320	4840
324	2325	4830
325	2330	4819
326	2336	4808
327	2341	4797
328	2347	4788
329	2353	4778
330	2359	4769
331	2365	4759
332	2371	4750
333	2377	4741
334	2382	4730
335	2388	4720
336	2394	4710
337	2399	4700
338	2405	4690
339	2411	4681
340	2417	4672
341	2425	4667
342	2431	4656
343	2437	4647
344	2442	4637
345	2448	4627
346	2454	4618
347	2459	4608
348	2465	4599
349	2471	4589
350	2477	4581
351	2483	4572
352	2489	4563
353	2495	4553
354	2501	4545
355	2507	4535
356	2512	4525
357	2518	4516
358	2524	4507
359	2529	4497
360	2535	4488
361	2541	4480
362	2547	4470
363	2553	4461
364	2559	4453
365	2566	4445
366	2573	4438
367	2578	4428
368	2584	4419
369	2591	4412
370	2597	4403
371	2602	4393
372	2609	4385
373	2615	4377
374	2620	4367
375	2626	4358
376	2632	4349
377	2638	4340
378	2643	4330
379	2649	4322
380	2654	4313
381	2660	4303
382	2666	4296
383	2674	4289
384	2679	4280
385	2685	4271
386	2691	4262
387	2697	4254
388	2702	4245
389	2708	4236
390	2714	4228
391	2720	4219
392	2725	4209
393	2731	4200
394	2736	4191
395	2741	4181
396	2748	4174
397	2753	4165
398	2759	4156
399	2765	4147
400	2770	4139
401	2776	4129
402	2782	4121
403	2788	4114
404	2794	4105
405	2800	4096
406	2805	4088
407	2814	4083
408	2820	4075
409	2826	4067
410	2831	4058
411	2838	4050
412	2845	4043
413	2850	4035
414	2856	4026
415	2862	4019
416	2868	4010
417	2873	4001
418	2879	3993
419	2886	3986
420	2892	3978
421	2898	3969
422	2904	3961
423	2910	3953
424	2916	3945
425	2921	3936
426	2927	3928
427	2933	3920
428	2938	3911
429	2944	3903
430	2952	3897
431	2958	3889
432	2963	3881
433	2969	3872
434	2975	3865
435	2982	3857
436	2988	3849
437	2993	3841
438	2999	3833
439	3005	3824
440	3011	3817
441	3017	3808
442	3023	3801
443	3028	3792
444	3034	3784
445	3040	3776
446	3045	3768
447	3052	3760
448	3057	3752
449	3063	3744
450	3069	3735
451	3074	3727
452	3080	3719
453	3086	3711
454	3092	3704
455	3098	3696
456	3103	3688
457	3109	3679
458	3115	3672
459	3121	3664
460	3126	3656
461	3132	3648
462	3138	3639
463	3144	3631
464	3149	3623
465	3155	3616
466	3161	3607
467	3166	3599
468	3172	3592
469	3179	3584
470	3185	3577
471	3193	3572
472	3200	3565
473	3205	3557
474	3211	3549
475	3217	3541
476	3222	3533
477	3227	3525
478	3233	3517
479	3239	3509
480	3246	3502
481	3252	3495
482	3257	3486
483	3263	3479
484	3269	3471
485	3274	3462
486	3280	3455
487	3287	3449
488	3293	3441
489	3298	3433
490	3304	3426
491	3311	3418
492	3316	3411
493	3322	3403
494	3329	3396
495	3334	3388
496	3339	3379
497	3345	3372
498	3351	3365
499	3357	3357
500	3362	3349
501	3368	3341
502	3374	3334
503	3379	3325
504	3385	3318
505	3392	3311
506	3398	3304
507	3404	3297
508	3410	3289
509	3415	3281
510	3421	3274
511	3427	3266
512	3433	3259
513	3439	3252
514	3445	3244
515	3450	3236
516	3456	3229
517	3461	3221
518	3467	3213
519	3473	3206
520	3478	3198
521	3484	3191
522	3491	3184
523	3498	3177
524	3503	3170
525	3509	3162
526	3516	3155
527	3521	3148
528	3527	3140
529	3532	3132
530	3538	3125
531	3543	3117
532	3549	3110
533	3556	3103
534	3561	3095
535	3566	3087
536	3573	3080
537	3579	3073
538	3584	3065
539	3592	3060
540	3599	3053
541	3605	3046
542	3611	3039
543	3616	3031
544	3622	3024
545	3628	3016
546	3633	3009
547	3639	3001
548	3644	2994
549	3650	2987
550	3655	2979
551	3662	2972
552	3668	2964
553	3673	2957
554	3679	2950
555	3685	2943
556	3690	2935
557	3696	2928
558	3702	2920
559	3709	2914
560	3714	2906
561	3720	2899
562	3727	2893
563	3733	2886
564	3738	2878
565	3745	2871
566	3751	2864
567	3756	2857
568	3762	2849
569	3768	2842
570	3773	2835
571	3778	2827
572	3784	2820
573	3790	2813
574	3795	2805
575	3801	2798
576	3809	2792
577	3816	2786
578	3822	2779
579	3827	2771
580	3833	2764
581	3839	2757
582	3844	2750
583	3851	2743
584	3856	2735
585	3861	2728
586	3867	2721
587	3873	2714
588	3878	2706
589	3884	2699
590	3890	2692
591	3896	2685
592	3902	2678
593	3908	2671
594	3914	2664
595	3919	2656
596	3926	2650
597	3931	2643
598	3937	2636
599	3942	2628
600	3948	2621
601	3954	2614
602	3959	2607
603	3965	2600
604	3971	2592
605	3978	2586
606	3985	2580
607	3991	2573
608	3996	2566
609	4002	2558
610	4008	2551
611	4014	2544
612	4021	2538
613	4026	2531
614	4032	2524
615	4039	2518
616	4045	2511
617	4051	2504
618	4056	2496
619	4062	2489
620	4068	2482
621	4073	2475
622	4079	2468
623	4085	2461
624	4090	2454
625	4097	2447
626	4103	2441
627	4108	2433
628	4116	2428
629	4122	2421
630	4128	2414
631	4134	2407
632	4139	2400
633	4146	2393
634	4151	2386
635	4157	2379
636	4164	2373
637	4169	2365
638	4176	2359
639	4181	2352
640	4187	2345
641	4194	2338
642	4199	2331
643	4205	2324
644	4211	2317
645	4216	2310
646	4224	2304
647	4229	2297
648	4236	2291
649	4242	2284
650	4247	2277
651	4253	2270
652	4259	2263
653	4265	2256
654	4271	2249
655	4277	2242
656	4283	2236
657	4289	2229
658	4294	2222
659	4300	2215
660	4306	2208
661	4312	2201
662	4318	2194
663	4324	2188
664	4331	2181
665	4336	2174
666	4342	2168
667	4348	2161
668	4354	2154
669	4360	2147
670	4367	2141
671	4373	2134
672	4379	2128
673	4385	2121
674	4391	2114
675	4396	2107
676	4402	2100
677	4408	2093
678	4413	2086
679	4420	2080
680	4426	2073
681	4432	2066
682	4437	2059
683	4443	2052
684	4449	2046
685	4454	2039
686	4460	2032
687	4466	2025
688	4471	2018
689	4477	2011
690	4483	2004
691	4488	1997
692	4494	1990
693	4500	1984
694	4506	1977
695	4511	1970
696	4517	1963
697	4523	1957
698	4528	1950
699	4534	1943
700	4541	1937
701	4547	1930
702	4553	1923
703	4559	1917
704	4565	1910
705	4571	1903
706	4576	1896
707	4582	1889
708	4588	1883
709	4593	1876
710	4599	1869
711	4605	1863
712	4611	1856
713	4617	1849
714	4622	1842
715	4629	1836
716	4635	1829
717	4641	1822
718	4647	1816
719	4653	1809
720	4658	1802
721	4665	1796
722	4671	1789
723	4678	1783
724	4684	1776
725	4689	1769
726	4696	1763
727	4702	1756
728	4707	1750
729	4713	1743
730	4719	1736
731	4724	1729
732	4730	1723
733	4735	1716
734	4742	1709
735	4747	1702
736	4754	1696
737	4762	1690
738	4768	1684
739	4773	1677
740	4779	1670
741	4785	1663
742	4791	1657
743	4797	1650
744	4803	1644
745	4809	1637
746	4814	1630
747	4820	1624
748	4826	1617
749	4832	1610
750	4837	1603
751	4843	1597
752	4850	1591
753	4856	1584
754	4861	1577
755	4867	1571
756	4873	1564
757	4878	1557
758	4884	1550
759	4889	1544
760	4895	1537
761	4901	1530
762	4907	1524
763	4913	1517
764	4919	1511
765	4925	1504
766	4931	1498
767	4936	1491
768	4942	1484
769	4948	1478
770	4954	1471
771	4959	1464
772	4966	1458
773	4972	1451
774	4977	1444
775	4983	1438
776	4989	1431
777	4994	1425
778	5000	1418
779	5006	1412
780	5011	1405
781	5017	1398
782	5023	1392
783	5028	1385
784	5034	1378
785	5039	1372
786	5045	1365
787	5051	1358
788	5056	1352
789	5064	1346
790	5069	1339
791	5075	1332
792	5081	1326
793	5087	1319
794	5092	1313
795	5098	1306
796	5104	1300
797	5110	1293
798	5117	1287
799	5122	1280
800	5128	1274
801	5133	1267
802	5140	1261
803	5148	1255
